,raceId,driverId,grid,position,fastestLapTime,fastestLapSpeed,stop,duration,date,name,year
321,846,20,1,1,76.267,157.656,1,28.536,2011-05-29,Monaco Grand Prix,2011
322,846,4,4,2,76.471,157.236,1,25.352,2011-05-29,Monaco Grand Prix,2011
323,846,4,4,2,76.471,157.236,2,31.382,2011-05-29,Monaco Grand Prix,2011
324,846,18,2,3,76.463,157.252,1,25.28,2011-05-29,Monaco Grand Prix,2011
325,846,18,2,3,76.463,157.252,2,26.421,2011-05-29,Monaco Grand Prix,2011
326,846,18,2,3,76.463,157.252,3,24.67,2011-05-29,Monaco Grand Prix,2011
327,846,17,3,4,76.23400000000001,157.724,1,37.735,2011-05-29,Monaco Grand Prix,2011
328,846,17,3,4,76.23400000000001,157.724,2,26.269,2011-05-29,Monaco Grand Prix,2011
329,846,155,12,5,78.30799999999999,153.547,1,28.642,2011-05-29,Monaco Grand Prix,2011
330,846,1,9,6,77.84700000000001,154.456,1,31.445,2011-05-29,Monaco Grand Prix,2011
331,846,1,9,6,77.84700000000001,154.456,2,19.347,2011-05-29,Monaco Grand Prix,2011
332,846,1,9,6,77.84700000000001,154.456,3,26.977,2011-05-29,Monaco Grand Prix,2011
333,846,16,14,7,78.872,152.449,1,25.037,2011-05-29,Monaco Grand Prix,2011
334,846,16,14,7,78.872,152.449,2,27.879,2011-05-29,Monaco Grand Prix,2011
335,846,2,15,8,77.857,154.436,1,25.851,2011-05-29,Monaco Grand Prix,2011
336,846,2,15,8,77.857,154.436,2,26.281,2011-05-29,Monaco Grand Prix,2011
337,846,22,11,9,78.584,153.008,1,25.921,2011-05-29,Monaco Grand Prix,2011
338,846,22,11,9,78.584,153.008,2,25.675,2011-05-29,Monaco Grand Prix,2011
339,846,67,16,10,78.832,152.526,1,26.073,2011-05-29,Monaco Grand Prix,2011
340,846,67,16,10,78.832,152.526,2,25.045,2011-05-29,Monaco Grand Prix,2011
341,846,3,7,11,78.699,152.784,1,25.189,2011-05-29,Monaco Grand Prix,2011
342,846,3,7,11,78.699,152.784,2,25.31,2011-05-29,Monaco Grand Prix,2011
343,846,3,7,11,78.699,152.784,3,25.116,2011-05-29,Monaco Grand Prix,2011
344,846,814,13,12,78.724,152.736,1,24.97,2011-05-29,Monaco Grand Prix,2011
345,846,814,13,12,78.724,152.736,2,19.36,2011-05-29,Monaco Grand Prix,2011
346,846,814,13,12,78.724,152.736,3,47.226,2011-05-29,Monaco Grand Prix,2011
347,846,15,18,13,81.277,147.938,1,25.595,2011-05-29,Monaco Grand Prix,2011
348,846,15,18,13,81.277,147.938,2,26.065,2011-05-29,Monaco Grand Prix,2011
349,846,5,17,14,80.678,149.036,1,26.477,2011-05-29,Monaco Grand Prix,2011
350,846,5,17,14,80.678,149.036,2,25.878,2011-05-29,Monaco Grand Prix,2011
351,846,816,21,15,81.39099999999999,147.731,1,27.577,2011-05-29,Monaco Grand Prix,2011
352,846,816,21,15,81.39099999999999,147.731,2,26.464,2011-05-29,Monaco Grand Prix,2011
353,846,24,23,16,81.566,147.414,1,28.298,2011-05-29,Monaco Grand Prix,2011
354,846,39,22,17,82.731,145.338,1,28.325,2011-05-29,Monaco Grand Prix,2011
355,846,39,22,17,82.731,145.338,2,39.917,2011-05-29,Monaco Grand Prix,2011
356,846,813,8,18,78.904,152.387,1,26.468,2011-05-29,Monaco Grand Prix,2011
357,846,813,8,18,78.904,152.387,2,25.687,2011-05-29,Monaco Grand Prix,2011
1424,865,17,1,1,78.805,152.579,1,25.566,2012-05-27,Monaco Grand Prix,2012
1425,865,3,2,2,78.977,152.246,1,24.874,2012-05-27,Monaco Grand Prix,2012
1426,865,4,5,3,78.857,152.478,1,25.22,2012-05-27,Monaco Grand Prix,2012
1427,865,20,9,4,79.076,152.056,1,25.079,2012-05-27,Monaco Grand Prix,2012
1428,865,1,3,5,78.806,152.577,1,25.748,2012-05-27,Monaco Grand Prix,2012
1429,865,13,7,6,79.101,152.008,1,24.993,2012-05-27,Monaco Grand Prix,2012
1430,865,814,14,7,79.757,150.757,1,25.642,2012-05-27,Monaco Grand Prix,2012
1431,865,807,10,8,78.423,153.322,1,26.447,2012-05-27,Monaco Grand Prix,2012
1432,865,8,8,9,79.246,151.73,1,26.38,2012-05-27,Monaco Grand Prix,2012
1433,865,811,13,10,79.187,151.843,1,26.41,2012-05-27,Monaco Grand Prix,2012
1434,865,815,23,11,77.29599999999999,155.557,1,25.666,2012-05-27,Monaco Grand Prix,2012
1435,865,815,23,11,77.29599999999999,155.557,2,19.677,2012-05-27,Monaco Grand Prix,2012
1436,865,818,16,12,79.013,152.177,1,26.063,2012-05-27,Monaco Grand Prix,2012
1437,865,818,16,12,79.013,152.177,2,26.157,2012-05-27,Monaco Grand Prix,2012
1438,865,5,17,13,79.305,151.617,1,26.066,2012-05-27,Monaco Grand Prix,2012
1439,865,5,17,13,79.305,151.617,2,31.293,2012-05-27,Monaco Grand Prix,2012
1440,865,10,19,14,79.637,150.985,1,25.567,2012-05-27,Monaco Grand Prix,2012
1441,865,10,19,14,79.637,150.985,2,36.503,2012-05-27,Monaco Grand Prix,2012
1442,865,39,22,15,80.286,149.764,1,27.306,2012-05-27,Monaco Grand Prix,2012
1443,865,39,22,15,80.286,149.764,2,26.973,2012-05-27,Monaco Grand Prix,2012
1444,865,18,12,16,79.923,150.444,1,25.219,2012-05-27,Monaco Grand Prix,2012
2393,885,3,1,1,78.327,153.51,1,25.2,2013-05-26,Monaco Grand Prix,2013
2394,885,20,3,2,76.577,157.018,1,24.375,2013-05-26,Monaco Grand Prix,2013
2395,885,17,4,3,78.262,153.637,1,24.316,2013-05-26,Monaco Grand Prix,2013
